num_points,num_ic,max_drop_ratio,drop_at_idx,num_singular_values,singular_values,elapsed_s,error
150,30,11.082175768030044,3,8,"1.967589e+04,3.032209e+03,1.758262e+03,4.647682e+02,4.193835e+01,1.881910e+01,5.479569e+00,1.475060e+00",0.4415862560272217,
300,30,10.975871549771757,3,8,"1.944811e+04,3.004385e+03,1.779465e+03,4.854836e+02,4.423189e+01,2.113121e+01,5.940897e+00,9.158875e-01",0.49898314476013184,
600,30,10.88807562032333,3,8,"1.931862e+04,2.985869e+03,1.783910e+03,4.941751e+02,4.538682e+01,2.251414e+01,6.201102e+00,8.371641e-01",0.5777010917663574,
1000,30,10.836524548885784,3,8,"1.928804e+04,2.974953e+03,1.784822e+03,4.969738e+02,4.586100e+01,2.308903e+01,6.302126e+00,8.223711e-01",0.5831489562988281,
1500,30,10.813720590247364,3,8,"1.923341e+04,2.971578e+03,1.785954e+03,4.986979e+02,4.611714e+01,2.339268e+01,6.349010e+00,8.173128e-01",0.6794040203094482,
2000,30,10.800375209681697,3,8,"1.922207e+04,2.968857e+03,1.786398e+03,4.992381e+02,4.622414e+01,2.354231e+01,6.371816e+00,8.164561e-01",0.7089457511901855,
3000,30,10.78985221984103,3,8,"1.920694e+04,2.966561e+03,1.786618e+03,4.999508e+02,4.633528e+01,2.368477e+01,6.391630e+00,8.155513e-01",0.8552911281585693,
150,60,10.707750891926858,3,8,"2.029117e+04,3.097938e+03,1.763272e+03,4.624597e+02,4.318925e+01,2.183924e+01,6.469935e+00,3.511400e+00",0.6466372013092041,
300,60,15.128620034719823,6,8,"2.003957e+04,3.079440e+03,1.798851e+03,4.910252e+02,4.540556e+01,2.439129e+01,6.851485e+00,4.528824e-01",0.6261630058288574,
600,60,27.106566371074848,6,8,"1.990650e+04,3.061432e+03,1.804568e+03,5.004791e+02,4.656866e+01,2.580152e+01,7.151161e+00,2.638166e-01",0.7643020153045654,
1000,60,29.698012537254588,6,8,"1.987392e+04,3.050323e+03,1.805544e+03,5.033787e+02,4.704737e+01,2.637511e+01,7.268423e+00,2.447444e-01",0.8890507221221924,
1500,60,30.662803471572687,6,8,"1.981843e+04,3.046920e+03,1.806644e+03,5.051304e+02,4.730266e+01,2.668132e+01,7.323102e+00,2.388269e-01",1.0452489852905273,
2000,60,30.99841261290043,6,8,"1.980722e+04,3.043955e+03,1.807125e+03,5.056766e+02,4.741166e+01,2.682971e+01,7.348340e+00,2.370554e-01",1.1953482627868652,
3000,60,31.270609894654193,6,8,"1.979171e+04,3.041584e+03,1.807344e+03,5.063963e+02,4.752305e+01,2.697250e+01,7.370979e+00,2.357159e-01",1.610079050064087,
150,100,10.096852171348209,3,8,"2.058429e+04,3.114279e+03,1.741129e+03,4.494454e+02,4.451342e+01,2.281319e+01,1.000724e+01,5.853300e+00",0.7971839904785156,
300,100,10.723226244401092,3,8,"2.025604e+04,3.106212e+03,1.803371e+03,4.915202e+02,4.583697e+01,2.554190e+01,7.173834e+00,8.139959e-01",0.8693420886993408,
600,100,56.82078477403488,6,8,"2.011981e+04,3.090233e+03,1.812075e+03,5.026442e+02,4.701638e+01,2.699653e+01,7.467187e+00,1.314165e-01",1.0395400524139404,
1000,100,76.27145890265778,6,8,"2.008635e+04,3.079178e+03,1.813244e+03,5.056750e+02,4.749826e+01,2.757347e+01,7.588776e+00,9.949693e-02",1.336474895477295,
1500,100,82.06963815343683,6,8,"2.003058e+04,3.075778e+03,1.814354e+03,5.074488e+02,4.775355e+01,2.788163e+01,7.645617e+00,9.316011e-02",1.5928468704223633,
2000,100,84.16769411854412,6,8,"2.001942e+04,3.072719e+03,1.814854e+03,5.079994e+02,4.786323e+01,2.803010e+01,7.671486e+00,9.114525e-02",1.9267950057983398,
3000,100,85.80179017013006,6,8,"2.000378e+04,3.070319e+03,1.815075e+03,5.087226e+02,4.797472e+01,2.817340e+01,7.694914e+00,8.968244e-02",2.5620198249816895,
150,200,6.9341937459883605,3,8,"2.129007e+04,3.157587e+03,1.658253e+03,4.110315e+02,5.927604e+01,2.684257e+01,1.934599e+01,6.228867e+00",1.2086021900177002,
300,200,10.50266307812568,3,8,"2.047091e+04,3.125063e+03,1.796801e+03,4.861281e+02,4.628618e+01,2.648908e+01,7.612766e+00,2.978062e+00",1.469029188156128,
600,200,33.30457534751023,6,8,"2.031883e+04,3.117249e+03,1.818313e+03,5.041653e+02,4.743722e+01,2.810534e+01,7.743539e+00,2.325068e-01",1.864192008972168,
1000,200,169.3332828252602,6,8,"2.028406e+04,3.106807e+03,1.820418e+03,5.077446e+02,4.792843e+01,2.869524e+01,7.866450e+00,4.645543e-02",2.342160940170288,
1500,200,276.2502935175427,6,8,"2.022800e+04,3.103477e+03,1.821632e+03,5.095930e+02,4.818468e+01,2.900668e+01,7.924928e+00,2.868749e-02",3.0000550746917725,
2000,200,306.7127937214413,6,8,"2.021689e+04,3.100335e+03,1.822168e+03,5.101569e+02,4.829514e+01,2.915566e+01,7.951283e+00,2.592420e-02",3.736372947692871,
3000,200,327.55956856607173,6,8,"2.020113e+04,3.097911e+03,1.822399e+03,5.108868e+02,4.840680e+01,2.929968e+01,7.975355e+00,2.434780e-02",5.180884838104248,
150,350,6.846793894154277,0,8,"2.278446e+04,3.327757e+03,1.531416e+03,3.695621e+02,1.024706e+02,2.861298e+01,1.936367e+01,6.267061e+00",1.9113500118255615,
300,350,9.997444517803064,3,8,"2.061455e+04,3.122971e+03,1.769127e+03,4.713611e+02,4.714816e+01,2.665787e+01,9.953003e+00,6.272234e+00",2.1961700916290283,
600,350,11.485172608748181,6,8,"2.039966e+04,3.126303e+03,1.818296e+03,5.033585e+02,4.758996e+01,2.851315e+01,7.855487e+00,6.839677e-01",2.8233189582824707,
1000,350,82.64521315360611,6,8,"2.036287e+04,3.117651e+03,1.822923e+03,5.083604e+02,4.809858e+01,2.913397e+01,7.970717e+00,9.644499e-02",4.061003923416138,
1500,350,345.1406610658411,6,8,"2.030655e+04,3.114550e+03,1.824455e+03,5.103957e+02,4.835784e+01,2.944999e+01,8.029527e+00,2.326451e-02",5.130956649780273,
2000,350,659.7112544553793,6,8,"2.029544e+04,3.111410e+03,1.825053e+03,5.109920e+02,4.846908e+01,2.959975e+01,8.056062e+00,1.221150e-02",6.450815916061401,
3000,350,898.8124874044839,6,8,"2.027962e+04,3.108988e+03,1.825305e+03,5.117347e+02,4.858100e+01,2.974430e+01,8.080380e+00,8.990062e-03",9.589830160140991,
150,500,6.84730751566713,0,8,"2.463300e+04,3.597472e+03,1.431911e+03,3.521434e+02,1.307880e+02,2.741495e+01,1.869821e+01,6.476845e+00",2.5654048919677734,
300,500,9.13857821773505,3,8,"2.077529e+04,3.122773e+03,1.733859e+03,4.543616e+02,4.971907e+01,2.687505e+01,1.568691e+01,6.813747e+00",3.0879580974578857,
600,500,10.521377469011657,3,8,"2.043723e+04,3.128171e+03,1.815215e+03,5.013124e+02,4.764703e+01,2.865229e+01,7.919661e+00,1.368468e+00",4.135885953903198,
1000,500,41.76095892912868,6,8,"2.039710e+04,3.122026e+03,1.823555e+03,5.083685e+02,4.816854e+01,2.931764e+01,8.014840e+00,1.919218e-01",5.4460227489471436,
1500,500,200.5325496434126,6,8,"2.034046e+04,3.119285e+03,1.825583e+03,5.106879e+02,4.843226e+01,2.963987e+01,8.073302e+00,4.025931e-02",7.249319076538086,
2000,500,563.5344419423245,6,8,"2.032931e+04,3.116190e+03,1.826270e+03,5.113337e+02,4.854445e+01,2.979070e+01,8.099902e+00,1.437339e-02",9.525360822677612,
3000,500,1437.5213788592703,6,8,"2.031346e+04,3.113787e+03,1.826555e+03,5.120952e+02,4.865672e+01,2.993574e+01,8.124334e+00,5.651626e-03",16.340444803237915,
150,750,6.744321351134813,0,8,"2.787683e+04,4.133378e+03,1.325309e+03,3.435363e+02,1.514426e+02,2.555452e+01,1.808200e+01,7.363498e+00",3.7367727756500244,
300,750,6.970801411410477,3,8,"2.115315e+04,3.143487e+03,1.669590e+03,4.263654e+02,6.116448e+01,2.863907e+01,2.138959e+01,6.883826e+00",4.426533937454224,
600,750,10.400504586562233,3,8,"2.047410e+04,3.125864e+03,1.806379e+03,4.962864e+02,4.771753e+01,2.868360e+01,8.044344e+00,2.929177e+00",6.06627893447876,
1000,750,18.87030827716465,6,8,"2.042386e+04,3.124629e+03,1.822997e+03,5.077893e+02,4.821335e+01,2.944495e+01,8.049871e+00,4.265893e-01",8.126309156417847,
1500,750,92.62276132726079,6,8,"2.036645e+04,3.122744e+03,1.826227e+03,5.107892e+02,4.848663e+01,2.978159e+01,8.106452e+00,8.752117e-02",10.923718929290771,
2000,750,284.5510767122094,6,8,"2.035520e+04,3.119788e+03,1.827127e+03,5.115553e+02,4.860095e+01,2.993493e+01,8.133050e+00,2.858204e-02",14.459238052368164,
3000,750,1261.173950492163,6,8,"2.033929e+04,3.117439e+03,1.827492e+03,5.123625e+02,4.871405e+01,3.008099e+01,8.157590e+00,6.468251e-03",24.47650909423828,
